rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,qx,qy,qz,qw
2515388000000,,117356,,2515,384000000,"""map""",,,75.3649807301,-257.975181048,0.006902219,,8.19095469103E-05,-0.000086037,-0.6883704297,-0.7253593161
2515394000000,,117357,,2515,394000000,"""map""",,,75.3649912761,-257.975155407,0.0069023067,,8.17568319631E-05,-8.58676350744E-05,-0.6884003107,-0.7253309577
2515404000000,,117358,,2515,404000000,"""map""",,,75.3649814087,-257.975131827,0.0069023027,,8.18955500987E-05,-0.00008601,-0.6883881247,-0.725342523
2515414000000,,117359,,2515,414000000,"""map""",,,75.3649772033,-257.975106637,0.0069022611,,8.18340682423E-05,-8.59413105685E-05,-0.6883819982,-0.7253483373
2515424000000,,117360,,2515,424000000,"""map""",,,75.3649821362,-257.975084891,0.0069023315,,8.18366824009E-05,-8.59293111964E-05,-0.6883707941,-0.7253589703
2515434000000,,117361,,2515,434000000,"""map""",,,75.3649874679,-257.975057983,0.0069022469,,8.18796366703E-05,-8.60012404253E-05,-0.6884012634,-0.7253300534
2515444000000,,117362,,2515,444000000,"""map""",,,75.3649889046,-257.975035657,0.0069023801,,8.17490646328E-05,-8.58391996582E-05,-0.6883882872,-0.7253423688
2515454000000,,117363,,2515,454000000,"""map""",,,75.3649887778,-257.975011684,0.0069022451,,0.00008189,-8.60235228961E-05,-0.6883799297,-0.7253503004
2515464000000,,117364,,2515,464000000,"""map""",,,75.3649811607,-257.974987789,0.0069023144,,8.17681014503E-05,-8.58726366398E-05,-0.6883681706,-0.72536146
2515474000000,,117365,,2515,474000000,"""map""",,,75.3649779987,-257.974962297,0.0069022772,,8.19079235336E-05,-8.6029356422E-05,-0.6884003035,-0.7253309645
2515484000000,,117366,,2515,484000000,"""map""",,,75.3649879204,-257.974938979,0.0069022881,,8.18241065837E-05,-8.59342406206E-05,-0.68838885,-0.7253418346
2515494000000,,117367,,2515,494000000,"""map""",,,75.3649848443,-257.974916643,0.0069023401,,8.18566180843E-05,-8.59676631777E-05,-0.6883796345,-0.7253505806
2515504000000,,117368,,2515,504000000,"""map""",,,75.3649860611,-257.974892936,0.0069023201,,8.18845576968E-05,-8.59924066086E-05,-0.6883680223,-0.7253616007
2515514000000,,117369,,2515,514000000,"""map""",,,75.3649714395,-257.974865853,0.0069023164,,8.17635176263E-05,-8.58667755134E-05,-0.6883992995,-0.7253319174
2515524000000,,117370,,2515,524000000,"""map""",,,75.364985743,-257.974843166,0.0069022203,,8.18864282707E-05,-8.60391646054E-05,-0.6883895137,-0.7253412047
2515534000000,,117371,,2515,534000000,"""map""",,,75.3649798023,-257.974819491,0.0069023491,,8.18052397896E-05,-8.59033941648E-05,-0.688379801,-0.7253504226
2515544000000,,117372,,2515,544000000,"""map""",,,75.3649892979,-257.974798237,0.0069023565,,8.18668674913E-05,-8.59441539161E-05,-0.6883682394,-0.7253613947
2515554000000,,117373,,2515,554000000,"""map""",,,75.3649688605,-257.974768974,0.0069021815,,8.1845637425E-05,-8.59815314733E-05,-0.6883984685,-0.7253327061
2515564000000,,117374,,2515,564000000,"""map""",,,75.3649822933,-257.974748514,0.0069023737,,8.18250846854E-05,-8.59312108682E-05,-0.6883893654,-0.7253413455
2515574000000,,117375,,2515,574000000,"""map""",,,75.3649739426,-257.974723776,0.0069022738,,8.18787601853E-05,-8.59884871749E-05,-0.6883795595,-0.7253506517
2515584000000,,117376,,2515,584000000,"""map""",,,75.3649896939,-257.974702271,0.0069023343,,8.17829301358E-05,-8.58792836658E-05,-0.6883691896,-0.725360493
2515594000000,,117377,,2515,594000000,"""map""",,,75.3649698817,-257.974676102,0.006902312,,8.18795164071E-05,-8.59913922425E-05,-0.6883966646,-0.7253344181
2515605000000,,117378,,2515,604000000,"""map""",,,75.3649784719,-257.974651453,0.0069022104,,8.18319479764E-05,-8.5986369904E-05,-0.6883897255,-0.7253410037
2515614000000,,117379,,2515,614000000,"""map""",,,75.364970133,-257.974629042,0.0069023674,,8.17858466766E-05,-0.000085897,-0.6883784341,-0.7253517198
